paper_key	title	year	bucket	participants	shift_locus	shift_schedule_magnitude	input_and_action_completion	embodiment_visibility	tasks_and_assessments	main_findings	terminology_and_gaps	sandbox_relevance
Anan2025	A Comparative Study of Prism Adaptation Using Virtual Reality and Conventional Prism Glasses	2025	core_pa	40 healthy right-handed adults; within-subject control, prism-lens, VR; counterbalanced; 1-week washout	PL: full-field optical shift with 20-diopter prisms; VR: software-defined deviation, exact rendering locus not clearly specified	fixed 20 diopters approx 11.3 degrees; 96 reaches; no gradual schedule reported	Oculus Touch; right hand; controller button press at believed target location; immediate color feedback sphere	virtual endpoint/hand feedback; arm visibility not clearly specified; trunk/head held forward	pre/post OLP, landmark, line bisection; repeated reaching exposure	VR induced leftward OLP in more participants than prism glasses; OLP aftereffects comparable among dual adapters	uses clinical PA terms consistently but VR perturbation mechanics are underspecified; fixed test order; no discussion of click-induced measurement disturbance	useful direct VR-vs-physical benchmark; good reason to log perturbation class explicitly
Bourgeois2021	Visual but Not Auditory-Verbal Feedback Induces Aftereffects Following Adaptation to Virtual Prisms	2021	core_pa	48 healthy right-handers; 4 groups: visual vs auditory-verbal x 0 vs 30 deg	controller/white-rod shift relative to real hand; target remains in stable virtual space	gradual hidden shift to 30 degrees over about 50 to 70 trials, then held to 100 trials	HTC Vive controller in right hand; controller-button press for open-loop and closed-loop endpoints; oral landmark judgments	white rod replaces controller; no arm/body visible; featureless white space	baseline, adaptation, post-tests; closed-loop and open-loop pointing; line bisection; landmark; randomized/counterbalanced test order	visual 30-degree condition produced aftereffects and line-bisection transfer; auditory-verbal feedback did not	calls effector-shift setup virtual prisms; good example of terminology drift; no Heisenberg discussion	strong reference for feedback-modality variable and gradual hidden shift design
Carter2016	Inducing Visuomotor Adaptation Using Virtual Reality Gaming with a Virtual Shift as a Treatment for Unilateral Spatial Neglect	2016	core_pa	7 healthy adults; 4 conditions across 2 visits	virtual hand cursor shift on screen; optical-shift comparison with real prisms; non-immersive screen setup	virtual shift set to mimic about 12-degree prism deviation; pre 30, adapt 100, de-adapt 30	Microsoft Kinect plus FAAST; forward reach mapped to mouse click; PED screen task or simple games	hand cursor on screen; skeletal tracking in system but not rich embodiment	30/100/30 reach phases; PED or game exposure; fixed order, not randomized	VR virtual shift induced measurable leftward aftereffect similar in direction to optical shift	authors mostly say visuomotor adaptation rather than overstating prism equivalence; very small sample; order effects	not a modern HMD prism protocol, but very relevant for cursor-shift and click-mapped interaction confounds
Cho2022	Feasibility Study of Immersive Virtual Prism Adaptation Therapy with Depth-Sensing Camera Using Functional Near-Infrared Spectroscopy in Healthy Adults	2022	core_pa	14 healthy adults	virtual hand trajectory shift only; authors explicitly note it does not shift the full visual field	stepwise by phase: pre, 10 deg, 20 deg, post; 10-pointing blocks and click/rest blocks	Oculus Rift DK2 plus Leap Motion; right index pointing; separate push-button clicking blocks	virtual hand only becomes visible in target-visible area; terminal exposure implemented by software visibility gate	pointing plus clicking/rest; randomized left/right targets; fNIRS; 60 Hz trajectory logging	aftereffect observed; right frontoparietal activation; authors note hand-tracking occlusion errors	uses VPAT label despite only shifting virtual hand; clear statement of difference from prism goggles	strong source for hand-tracking vs controller tradeoffs and software-defined terminal exposure
Frassinetti2002	Long-Lasting Amelioration of Visuospatial Neglect by Prism Adaptation	2002	core_pa	7 chronic left-neglect patients in treatment group plus control patients	classical full-field optical shift from wedge prisms	10-degree rightward optical shift; 20 sessions over 2 weeks	physical pointing with real hand; no button press; terminal exposure through physical setup	real hand only; classical terminal exposure	logs adaptation effect and aftereffect; evaluates far, near, and personal space neglect; long follow-up	long-lasting neglect improvement outlasted short-lived visuo-motor aftereffect	classical benchmark for adaptation effect vs aftereffect distinction; limited sample size	foundational clinical reference for repeated terminal-exposure PA and transfer beyond sensorimotor bias
Gammeri2018_2020	Adaptation to Virtual Prisms and Its Relevance for Neglect Rehabilitation: A Single-Blind Dose-Response Study with Healthy Participants	2018/2020	core_pa	48 healthy adults; 0, 10, 20, 30 degree groups	controller/wooden-rod shift relative to real hand; target stable in VR	gradual hidden shift over about 2 min to 10, 20, or 30 degrees; 100 adaptation trials	HTC Vive controller with trigger-like button; button press in open-loop; red beam for bisection; oral landmark	wooden rod instead of controller; no arm visible	baseline, adaptation, post, recalibration; open-loop at 4 timepoints; line and space bisection; line and space landmark	transfer only in bisection tasks and only in 30-degree group; most participants unaware	explicitly admits principle differs from wedge prisms; still uses virtual prisms label	excellent benchmark for dose, awareness, bisection transfer, and gradual effector-shift design
Gerken2025	Sense of Ownership Is Linked to the Speed of Visuomotor Adaptation in Virtual Reality but Not to Generalization, Intermanual Transfer, or Aftereffects	2025	adjacent_comparator	30 healthy right-handed adults; hand vs cursor groups	40-degree visuomotor rotation around y-axis; hand or cursor feedback	144 adaptation trials; explicit and implicit test blocks; washout	Valve Index plus wireless gloves; no endpoint button; dwell-based trial start; no visual feedback in test blocks	virtual hand without arm vs cursor at wrist; real arms fully occluded	familiarization, baseline, adaptation, refresh, spatial generalization, intermanual transfer, aftereffect, agency ratings	hand feedback sped adaptation and increased agency, but aftereffects and transfer were similar	not a clinical prism paper; uses motor-learning language cleanly	useful comparator for embodiment and non-button endpoint capture
Heyse2022	From Patient to Musician: A Multi-Sensory Virtual Reality Rehabilitation Tool for Spatial Neglect	2022	context_review	4 USN patients and 4 non-clinical users	no prism shift; multisensory music-based VR rehab	not applicable	HMD plus 2 controllers used as mallets	virtual musical instruments; explicit multimodal feedback	therapy design paper; subtype background; pilot usability and behavioral observations	patients responded across space and corrected head direction toward neglected side	valuable for subtype taxonomy and personalization argument; not a prism implementation paper	useful for multimodal UI, personalization, and subtype framing, not for prism mechanics
Huygelier2022	An Immersive Virtual Reality Game to Train Spatial Attention Orientation After Stroke: A Feasibility Study	2022	context_review	15 healthy controls and 7 stroke patients	no prism shift; patient-tailored multisensory cueing in neglected field	not applicable	Oculus Rift CV1; right touch controller; explicit button-learning procedure; clinician-operated setup	virtual hand and controller visible; left controller disabled	rehab game plus computerized cancellation comparison; tailored cue algorithms; multiple pilot phases	symptoms were consistent between VR and computerized cancellation; cueing improved target discrimination; feasible and acceptable	not prism adaptation; supports ecological validity and personalization claims	useful for onboarding, clinician control, target-tailoring, and practical patient deployment
IshidaHiga2023	Expansion of Body Adaptation Areas for Prism Adaptation Therapy Using Virtual Reality: Head Orientation Experiments on Normal Subjects	2023	core_pa	healthy normal subjects; exact n not extracted from quick pass	symbolic-body and head-orientation shift; extends PA beyond hand	body-measured target placement; repeated shift and no-shift task sets	inside-out tracked standalone VR; controllers and headset; trigger-based measurement	symbolic body rather than realistic hand or head; target visible area staged	head-orientation experiments; posture measurement; adaptation beyond hand	authors argue PA can be extended to whole-body/head-orientation domain	terminology extends classical PA substantially; concept drift is part of the contribution	useful if sandbox includes posture/head adaptation or symbolic embodiment modes
IshidaHiga2024	Development of a Virtual Reality System That Generates Prism Adaptation for Multiple Motor Units	2024	core_pa	healthy subjects; hand-position and head-position adaptation tasks	symbolic-body shift for hand-position and head-position adaptation	multiple no-shift and shift sets; body-measured target generation; shift/no-shift language	controllers and headset positions measured; trigger press reveals symbolic-body vs target error	symbolic body only; realistic limb not shown	hand-position adaptation and head-position adaptation; open-loop target visibility staging	generated adaptation-like effects for upper trunk and head-position control	uses PA language but also replaces it with shift/no-shift terminology; very non-standard	frame-setting paper for whole-body taxonomy and explicit disclosure of perturbation class
Kaiser2022	Virtual Reality and Eye-Tracking Assessment and Treatment of Unilateral Spatial Neglect: Systematic Review and Future Prospects	2022	context_review	systematic review; no direct participant sample	no single prism implementation; review of VR and ET neglect systems	not applicable	not applicable	not applicable	review of assessment and treatment studies	directly states conventional methods miss milder forms and rarely distinguish subtypes; VR/ET promising for richer process data	key high-level evidence for subtype and ecological-validity arguments	important background source for claim that subtype-sensitive VR frameworks are still underdeveloped
Kim2017	Development and Validation of Virtual Prism Adaptation Therapy	2017	core_pa	4 healthy participants	virtual hand rendered at transformed position; real and virtual hand trajectories diverge by software	stepwise phases: non-prism, 10 deg, 20 deg, post; target every 3 s	Oculus Rift DK2 plus Leap Motion; pointing action; endpoint confirmation not clearly specified	virtual hand only; no arm details extracted	proof-of-concept validation; no rich assessment battery reported	rightward errors during prism phases and leftward post-adaptation deviation	very underspecified on task flow, action completion, and logging	early prototype marker; weak direct design reference unless paired with later Cho paper
Morse2022	Exploring Perspectives from Stroke Survivors, Carers and Clinicians on Virtual Reality as a Precursor to Using Telerehabilitation for Spatial Neglect Post-Stroke	2022	context_review	7 stroke survivors, 3 carers, 6 clinicians	no prism shift; telerehab acceptability study	not applicable	trial use of VirtualRehab and C-SIGHT systems; questionnaires and interviews	not the focus; home-use and instruction issues emphasized	focus groups, interviews, acceptability questionnaires; stroke survivors formally assessed with BIT, line bisection, Broken Hearts	overall positive attitude to self-administered VR telerehab; strong emphasis on instructions, hardware, and user ownership	not a prism paper, but more subtype-sensitive in assessment framing than many PA papers	useful for deployment constraints, instruction design, and home-use considerations
Patane2025_2026	ARPA: Augmented Reality Prism Adaptation Induces Sensorimotor and Visuospatial Effects	2025/2026	core_pa	48 healthy participants; leftward or rightward ARPA	genuine full-field AR shift: camera feed, real environment, real hand, and virtual target all displaced together	fixed 15-degree leftward or rightward shift; 150 exposure movements; multiple post blocks over about 40 min	Vive Pro plus Leap Motion; physical index-finger pointing to surface; no adaptation button press; landmark via left/right foot pedals	real hand visible through AR; first third of movement hidden by virtual black rectangle	Pre, Post1-Post9 blocks; real and AR open-loop pointing; landmark; counterbalanced real vs AR order in key blocks	robust sensorimotor aftereffects both directions; immediate visuospatial effect only after leftward ARPA; generalization to real environment	closest AR analogue to classical PA in corpus; excellent action-confirmation design because it avoids right-hand button clicks	top reference for ecological full-field shift, low-Heisenberg interaction, and persistence measurement
Ramos2019	Simulated Prism Exposure in Immersed Virtual Reality Produces Larger Prismatic After-Effects Than Standard Prism Exposure in Healthy Subjects	2019	core_pa	20 healthy participants; within-subject randomized condition order	full-field VR implementations via frustum rotation or frustum skew; compared with physical prism goggles plus PC	fixed 10-degree VR conditions; PCP originally 8.7 degrees transformed to 10; 5-step protocol with reset	HTC Vive controller; menu button used to define fingertip; physical PCP touchscreen with beep; reset task included	virtual fingertip only; virtual black box hides arm; haptic rumble on virtual wall touch	pre-test, baseline, exposure, post-test, reset; randomized condition sequence and 10-min breaks	both VR conditions produced larger aftereffects than physical prism condition; rotate and skew similar	strongest paper on rendering-level implementation differences; button press and fatigue noted but not treated as measurement confound	critical source for perturbation-class comparison and explicit reset procedure
Serino2006	Mechanisms Underlying Neglect Recovery After Prism Adaptation	2006	core_pa	16 chronic neglect patients plus 8 control patients	classical full-field optical shift with 10-degree prisms	10 daily sessions over 2 weeks; pre 60, exposure 90, post 30 trials	physical pointing with right index from sternum; no button; terminal exposure through wooden box	real hand; visible and invisible pointing conditions	BIT plus eye-movement reading task; error reduction and aftereffect tracked	error reduction in first week predicted neglect recovery better than aftereffect; oculomotor leftward deviation linked to recovery	careful distinction between error reduction and aftereffect; excellent mechanistic terminology anchor	important for logging and reporting variables beyond simple aftereffect magnitude
